customer_id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_5803,51.0,management,single,tertiary,no,102128.0,no,no,cellular,872,1.0,0,unknown,1.0
id_39278,86.0,retired,married,secondary,no,81208.0,no,no,telephone,935,1.0,3,success,1.0
id_15464,53.0,entrepreneur,married,tertiary,no,51440.0,no,yes,cellular,837,1.0,0,unknown,1.0
id_36545,59.0,unemployed,divorced,secondary,no,44129.0,no,no,cellular,992,1.0,0,unknown,1.0
id_28943,56.0,retired,married,tertiary,no,41237.0,no,no,cellular,701,1.0,0,unknown,1.0
id_9386,34.0,unemployed,married,tertiary,no,39385.0,no,no,cellular,752,1.0,0,unknown,1.0
id_43498,31.0,management,single,tertiary,no,38275.0,no,no,cellular,829,2.0,0,unknown,1.0
id_12988,50.0,entrepreneur,married,tertiary,no,36938.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_6900,75.0,retired,divorced,primary,no,29083.0,no,no,cellular,845,5.0,4,other,1.0
id_38900,39.0,management,married,tertiary,no,27695.0,no,no,cellular,894,2.0,5,success,1.0
id_225,33.0,housemaid,single,primary,no,26968.0,no,no,cellular,915,2.0,0,unknown,1.0
id_13262,40.0,technician,divorced,tertiary,no,24056.0,no,yes,unknown,855,1.0,0,unknown,1.0
id_9279,33.0,technician,single,tertiary,no,23914.0,no,no,cellular,802,2.0,0,unknown,1.0
id_8812,23.0,student,single,secondary,no,23882.0,no,no,cellular,880,1.0,1,success,1.0
id_31790,32.0,technician,married,secondary,no,23879.0,no,no,cellular,796,2.0,0,unknown,1.0
id_42838,40.575475409836066,management,married,tertiary,no,22447.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_15290,58.0,unknown,married,unknown,no,19270.0,no,no,unknown,730,1.0,0,unknown,1.0
id_21844,29.0,technician,single,tertiary,no,18253.0,no,no,cellular,895,2.0,0,unknown,1.0
id_44474,51.0,management,married,tertiary,no,17007.0,no,no,cellular,703,2.0,0,unknown,1.0
id_21153,40.575475409836066,housemaid,married,secondary,no,16360.0,no,no,telephone,703,1.0,0,unknown,1.0
id_10136,56.0,entrepreneur,married,tertiary,no,16125.0,no,no,telephone,701,1.0,0,unknown,1.0
id_42305,55.0,management,married,tertiary,no,15516.0,no,no,cellular,704,1.0,0,unknown,1.0
id_33519,43.0,technician,married,tertiary,no,15443.0,no,no,cellular,872,2.0,0,unknown,1.0
id_17767,47.0,admin.,married,secondary,no,14442.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_18558,59.0,retired,married,secondary,no,14413.0,no,no,cellular,704,1.0,0,unknown,1.0
id_10489,31.0,services,married,secondary,no,14384.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_23238,56.0,management,married,tertiary,no,14343.0,yes,no,cellular,990,1.0,0,unknown,1.0
id_10491,50.0,admin.,divorced,secondary,no,14219.0,no,no,cellular,801,2.0,0,unknown,1.0
id_39534,26.0,technician,single,tertiary,no,14054.0,no,no,cellular,822,1.0,0,unknown,1.0
id_13133,37.0,entrepreneur,married,primary,no,13929.0,yes,no,cellular,820,2.0,0,unknown,1.0
id_44226,46.0,unemployed,married,secondary,no,13818.0,no,no,cellular,701,1.0,2,failure,1.0
id_41299,27.0,blue-collar,single,secondary,no,13658.0,yes,yes,cellular,920,1.0,0,unknown,1.0
id_37540,44.0,blue-collar,married,unknown,no,13267.0,no,no,cellular,815,2.0,0,unknown,1.0
id_31711,46.0,admin.,married,secondary,no,13232.0,no,yes,telephone,837,2.0,0,unknown,1.0
id_23113,63.0,retired,married,secondary,no,13161.0,no,no,cellular,844,1.0,0,unknown,1.0
id_42166,27.0,student,single,tertiary,no,13109.0,yes,no,cellular,930,1.0,2,failure,1.0
id_41384,42.0,management,married,secondary,no,13052.0,yes,no,cellular,895,2.0,12,other,1.0
id_37455,32.0,management,single,tertiary,no,13015.0,no,no,cellular,983,1.0,1,success,1.0
id_27709,47.0,services,married,unknown,no,12841.0,yes,no,cellular,899,1.0,4,failure,1.0
id_8870,32.0,entrepreneur,married,secondary,no,12734.0,no,yes,cellular,703,2.0,0,unknown,1.0
id_6733,33.0,blue-collar,single,primary,no,12195.0,yes,no,cellular,888,1.0,0,unknown,1.0
id_25011,36.0,self-employed,married,tertiary,no,12133.0,no,no,telephone,701,1.0,0,unknown,1.0
id_28605,57.0,housemaid,married,primary,no,11906.0,no,no,telephone,839,3.0,0,unknown,1.0
id_31709,42.0,management,single,tertiary,no,11888.0,no,no,cellular,930,1.0,0,unknown,1.0
id_5414,38.0,technician,married,tertiary,no,11763.0,yes,no,cellular,703,1.0,0,unknown,1.0
id_3579,44.0,management,married,tertiary,no,11754.0,no,no,cellular,807,2.0,0,unknown,1.0
id_23594,40.575475409836066,services,married,secondary,no,11653.0,yes,no,telephone,816,1.0,0,unknown,1.0
id_43641,33.0,entrepreneur,married,tertiary,no,11589.0,yes,no,cellular,704,1.0,0,unknown,1.0
id_7903,28.0,student,single,secondary,no,11553.0,no,no,cellular,928,2.0,0,unknown,1.0
id_0,54.0,self-employed,married,secondary,no,11494.0,no,no,cellular,703,1.0,0,unknown,1.0
id_14823,30.0,management,married,secondary,no,11393.0,yes,no,cellular,702,1.0,2,other,1.0
id_43551,39.0,management,married,tertiary,no,11390.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_37436,37.0,self-employed,married,tertiary,no,11383.0,no,no,cellular,921,1.0,0,unknown,1.0
id_29053,33.0,housemaid,married,tertiary,no,11216.0,no,no,cellular,802,2.0,1,failure,1.0
id_20551,58.0,blue-collar,married,primary,no,11066.0,no,no,telephone,922,6.0,0,unknown,1.0
id_26620,23.0,student,single,unknown,no,10790.0,no,no,cellular,669,2.0,2,other,1.0
id_40018,48.0,entrepreneur,married,primary,no,10775.0,no,no,cellular,806,2.0,0,unknown,1.0
id_32704,52.0,retired,single,secondary,no,10620.0,no,no,cellular,815,2.0,0,unknown,1.0
id_16211,28.0,technician,married,tertiary,no,10449.0,yes,no,cellular,993,1.0,0,unknown,1.0
id_13925,37.0,blue-collar,married,primary,no,10441.0,no,no,cellular,703,1.0,0,unknown,1.0
id_6701,45.0,admin.,single,secondary,no,10390.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_5882,42.0,self-employed,single,tertiary,no,10341.0,no,no,cellular,860,2.0,1,other,1.0
id_17340,52.0,blue-collar,divorced,unknown,no,10291.0,yes,no,unknown,877,1.0,0,unknown,1.0
id_23429,29.0,blue-collar,married,secondary,no,10283.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_444,55.0,technician,married,secondary,no,10188.0,no,no,cellular,804,1.0,2,other,1.0
id_5255,29.0,services,single,tertiary,no,10126.0,yes,no,cellular,820,1.0,0,unknown,1.0
id_27611,24.0,student,single,tertiary,no,10090.0,no,no,cellular,915,2.0,0,unknown,1.0
id_5319,43.0,self-employed,married,tertiary,no,10073.0,no,no,cellular,914,1.0,0,unknown,1.0
id_23497,54.0,technician,married,secondary,no,9773.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_2199,58.0,management,married,tertiary,no,9687.0,no,no,cellular,810,2.0,0,unknown,1.0
id_19079,31.0,management,single,tertiary,no,9505.0,no,no,cellular,806,2.0,0,unknown,1.0
id_6354,73.0,retired,married,secondary,no,9477.0,no,no,cellular,915,1.0,0,unknown,1.0
id_33128,31.0,management,single,tertiary,no,9416.0,no,no,cellular,697,1.0,0,unknown,1.0
id_16315,31.0,management,single,tertiary,no,9319.0,no,no,cellular,880,1.0,3,failure,1.0
id_18047,34.0,blue-collar,single,secondary,no,9305.0,yes,no,cellular,895,1.0,0,unknown,1.0
id_43213,45.0,unemployed,married,primary,no,9260.0,yes,no,cellular,900,1.0,0,unknown,1.0
id_23446,48.0,blue-collar,married,primary,no,9205.0,no,no,cellular,796,7.0,0,unknown,1.0
id_28861,67.0,technician,married,secondary,no,9068.0,no,no,cellular,807,1.0,0,unknown,1.0
id_43154,40.0,management,married,tertiary,no,9011.0,no,no,cellular,702,2.0,0,unknown,1.0
id_4424,29.0,blue-collar,married,secondary,no,8959.0,no,no,cellular,702,1.0,0,unknown,1.0
id_25921,54.0,services,married,primary,no,8922.0,yes,no,telephone,822,2.0,0,unknown,1.0
id_23402,33.0,unemployed,divorced,tertiary,no,8905.0,yes,no,cellular,891,1.0,6,failure,1.0
id_1833,52.0,admin.,married,secondary,no,8892.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_11519,46.0,entrepreneur,married,primary,no,8871.0,yes,no,cellular,821,2.0,0,unknown,1.0
id_19428,40.575475409836066,student,single,unknown,no,8859.0,no,no,cellular,929,2.0,0,unknown,1.0
id_36517,45.0,unemployed,single,primary,no,8727.0,no,no,cellular,837,2.0,0,unknown,1.0
id_42289,38.0,services,divorced,primary,no,8653.0,yes,no,cellular,892,4.0,0,unknown,1.0
id_19352,54.0,technician,married,unknown,no,8607.0,no,no,cellular,816,3.0,0,unknown,1.0
id_17975,82.0,retired,married,primary,no,8603.0,no,no,cellular,731,3.0,1,success,1.0
id_2072,45.0,unknown,married,tertiary,no,8568.0,no,no,cellular,789,1.0,0,unknown,1.0
id_12337,36.0,technician,married,tertiary,no,8460.0,no,no,cellular,801,2.0,0,unknown,1.0
id_15069,30.0,self-employed,single,tertiary,no,8460.0,no,no,cellular,702,1.0,0,unknown,1.0
id_11117,53.0,admin.,married,secondary,no,8451.0,no,no,cellular,802,2.0,0,unknown,1.0
id_40887,29.0,management,single,tertiary,no,8439.0,yes,no,cellular,919,1.0,2,failure,1.0
id_32863,56.0,management,married,primary,no,8335.0,no,no,cellular,675,4.0,2,other,1.0
id_21505,60.0,management,married,primary,no,8329.0,no,no,cellular,857,1.0,7,other,1.0
id_39190,24.0,management,single,tertiary,no,8306.0,no,no,cellular,837,2.0,0,unknown,1.0
id_26240,31.0,unemployed,single,secondary,no,8301.0,no,no,cellular,733,1.0,1,failure,1.0
id_20462,51.0,management,married,tertiary,no,8298.0,no,no,cellular,870,1.0,0,unknown,1.0
id_33727,23.0,student,single,primary,no,8275.0,no,no,cellular,724,1.0,0,unknown,1.0
id_11841,58.0,services,married,secondary,no,8263.0,yes,no,telephone,701,1.0,0,unknown,1.0
id_2402,53.0,blue-collar,married,secondary,no,8182.0,yes,no,cellular,923,1.0,1,failure,1.0
id_10723,57.0,blue-collar,married,primary,no,8159.0,no,no,cellular,800,4.0,0,unknown,1.0
id_17260,49.0,blue-collar,married,secondary,no,8151.0,yes,no,cellular,919,1.0,0,unknown,1.0
id_38226,55.0,self-employed,divorced,secondary,no,8109.0,yes,yes,cellular,921,1.0,1,failure,1.0
id_4965,27.0,management,single,secondary,no,8103.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_5315,57.0,entrepreneur,married,secondary,no,8099.0,no,no,cellular,989,2.0,0,unknown,1.0
id_16370,34.0,technician,single,tertiary,no,8092.0,no,yes,cellular,793,2.0,0,unknown,1.0
id_11142,35.0,management,single,tertiary,no,8067.0,no,no,telephone,801,1.0,0,unknown,1.0
id_33235,33.0,services,married,secondary,no,8039.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_43307,31.0,management,married,tertiary,no,8001.0,no,no,cellular,878,2.0,0,unknown,1.0
id_40083,50.0,technician,married,secondary,no,7981.0,yes,no,cellular,993,1.0,0,unknown,1.0
id_27675,37.0,unemployed,single,tertiary,no,7969.0,no,no,cellular,965,2.0,2,success,1.0
id_27196,38.0,technician,married,secondary,no,7954.0,no,no,cellular,814,2.0,0,unknown,1.0
id_45149,54.0,retired,married,primary,no,7935.0,no,no,unknown,858,1.0,0,unknown,1.0
id_40138,53.0,technician,divorced,secondary,no,7925.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_12380,44.0,blue-collar,married,secondary,no,7890.0,yes,no,cellular,991,1.0,0,unknown,1.0
id_27586,34.0,management,divorced,tertiary,no,7824.0,no,no,unknown,866,1.0,0,unknown,1.0
id_31322,46.0,management,married,tertiary,no,7813.0,no,no,cellular,879,1.0,0,unknown,1.0
id_6692,59.0,management,divorced,tertiary,no,7812.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_20589,78.0,retired,married,tertiary,no,7800.0,no,no,telephone,902,1.0,2,success,1.0
id_31458,39.0,housemaid,divorced,secondary,no,7782.0,no,no,unknown,866,2.0,0,unknown,1.0
id_10124,28.0,blue-collar,single,secondary,no,7771.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_39105,54.0,technician,married,secondary,no,7763.0,yes,no,cellular,701,1.0,0,unknown,1.0
id_19852,35.0,blue-collar,single,secondary,no,7619.0,yes,yes,telephone,900,1.0,0,unknown,1.0
id_14084,25.0,services,single,secondary,no,7603.0,no,no,cellular,909,1.0,0,unknown,1.0
id_10013,26.0,blue-collar,single,secondary,no,7526.0,no,no,cellular,891,2.0,0,unknown,1.0
id_19000,38.0,technician,single,secondary,no,7505.0,yes,no,telephone,901,1.0,1,failure,1.0
id_14963,36.0,technician,married,secondary,no,7489.0,no,no,cellular,807,2.0,0,unknown,1.0
id_30286,46.0,management,married,tertiary,no,7482.0,no,no,cellular,760,1.0,2,failure,1.0
id_20879,31.0,self-employed,married,primary,no,7471.0,yes,yes,cellular,906,1.0,0,unknown,1.0
id_40579,58.0,unemployed,divorced,secondary,no,7470.0,no,no,cellular,738,1.0,0,unknown,1.0
id_14428,57.0,unemployed,divorced,secondary,no,7465.0,no,no,cellular,973,1.0,1,failure,1.0
id_35444,56.0,technician,married,secondary,no,7427.0,no,no,cellular,702,1.0,0,unknown,1.0
id_37736,34.0,self-employed,married,tertiary,no,7342.0,no,no,cellular,705,1.0,0,unknown,1.0
id_23628,61.0,unknown,married,unknown,no,7340.0,no,no,cellular,810,1.0,0,unknown,1.0
id_10395,40.575475409836066,entrepreneur,married,primary,no,7274.0,yes,no,cellular,894,1.0,0,unknown,1.0
id_20609,53.0,management,married,tertiary,no,7250.0,yes,yes,cellular,703,1.0,0,unknown,1.0
id_10388,40.575475409836066,blue-collar,married,secondary,no,7220.0,no,no,cellular,703,2.0,2,failure,1.0
id_27480,36.0,services,married,secondary,no,7208.0,yes,no,cellular,893,1.0,0,unknown,1.0
id_23535,40.0,technician,divorced,tertiary,no,7191.0,yes,no,cellular,816,2.0,0,unknown,1.0
id_12344,61.0,retired,divorced,primary,no,7176.0,no,no,cellular,990,1.0,0,unknown,1.0
id_18252,51.0,services,married,unknown,no,7170.0,no,no,cellular,786,14.0,0,unknown,1.0
id_44527,43.0,technician,single,unknown,no,7112.0,yes,yes,cellular,704,1.0,3,failure,1.0
id_43132,24.0,technician,single,secondary,no,7102.0,yes,no,cellular,888,1.0,0,unknown,1.0
id_35050,53.0,blue-collar,married,primary,no,7074.0,no,no,cellular,788,6.0,0,unknown,1.0
id_34699,32.0,blue-collar,married,secondary,no,7058.0,yes,no,cellular,893,1.0,9,failure,1.0
id_42777,47.0,services,married,secondary,no,7019.0,yes,no,cellular,873,1.0,3,failure,1.0
id_41452,54.0,management,divorced,tertiary,no,7010.0,no,no,cellular,956,2.0,0,unknown,1.0
id_32754,58.0,admin.,married,primary,no,7000.0,no,no,cellular,810,1.0,0,unknown,1.0
id_12998,41.0,technician,married,tertiary,no,6963.0,no,no,cellular,806,2.0,0,unknown,1.0
id_389,49.0,blue-collar,married,secondary,no,6937.0,no,no,cellular,703,2.0,0,unknown,1.0
id_40182,59.0,management,married,primary,no,6900.0,no,no,cellular,730,4.0,2,failure,1.0
id_40475,56.0,management,married,primary,no,6899.0,no,no,cellular,915,2.0,0,unknown,1.0
id_17440,29.0,blue-collar,single,secondary,no,6895.0,no,no,cellular,701,1.0,0,unknown,1.0
id_29811,37.0,technician,single,tertiary,no,6886.0,yes,no,cellular,998,1.0,3,failure,1.0
id_12628,69.0,retired,divorced,secondary,no,6852.0,no,no,telephone,962,3.0,1,failure,1.0
id_11306,30.0,technician,married,secondary,no,6845.0,no,no,cellular,802,1.0,0,unknown,1.0
id_33633,40.575475409836066,blue-collar,single,secondary,no,6834.0,yes,no,cellular,899,1.0,0,unknown,1.0
id_40105,35.0,management,single,tertiary,no,6810.0,no,no,cellular,732,2.0,1,success,1.0
id_16425,29.0,management,single,tertiary,no,6791.0,no,no,telephone,805,1.0,35,failure,1.0
id_15217,57.0,blue-collar,married,primary,no,6763.0,no,no,cellular,786,25.0,0,unknown,1.0
id_36408,32.0,technician,single,tertiary,no,6750.0,no,no,cellular,711,1.0,0,unknown,1.0
id_11773,32.0,technician,single,secondary,no,6705.0,no,no,cellular,701,1.0,0,unknown,1.0
id_17108,42.0,management,married,secondary,no,6698.0,yes,no,cellular,989,1.0,1,failure,1.0
id_25746,60.0,retired,married,tertiary,no,6684.0,yes,yes,cellular,990,1.0,0,unknown,1.0
id_21889,52.0,management,divorced,tertiary,no,6644.0,yes,no,cellular,838,1.0,0,unknown,1.0
id_29576,38.0,blue-collar,married,primary,no,6593.0,yes,no,cellular,899,1.0,1,failure,1.0
id_37976,43.0,blue-collar,married,primary,no,6593.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_32500,26.0,management,married,tertiary,no,6582.0,no,no,cellular,835,1.0,0,unknown,1.0
id_22642,50.0,admin.,married,tertiary,no,6574.0,no,no,cellular,775,1.0,3,success,1.0
id_25552,56.0,technician,married,tertiary,no,6572.0,yes,no,telephone,712,1.0,0,unknown,1.0
id_5200,35.0,admin.,single,secondary,no,6549.0,no,no,cellular,816,1.0,0,unknown,1.0
id_44853,43.0,management,married,secondary,no,6521.0,no,no,cellular,857,2.0,3,failure,1.0
id_20709,52.0,technician,divorced,tertiary,no,6506.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_27084,32.0,management,married,tertiary,no,6453.0,no,no,telephone,703,1.0,0,unknown,1.0
id_19259,49.0,blue-collar,married,primary,no,6425.0,no,no,cellular,703,1.0,0,unknown,1.0
id_10699,29.0,management,single,tertiary,no,6417.0,no,no,cellular,801,2.0,0,unknown,1.0
id_2917,31.0,technician,single,secondary,no,6405.0,yes,no,cellular,702,1.0,0,unknown,1.0
id_44555,62.0,technician,married,primary,no,6383.0,no,no,cellular,737,2.0,0,unknown,1.0
id_14229,35.0,technician,single,tertiary,no,6276.0,yes,no,cellular,844,1.0,4,success,1.0
id_28294,82.0,retired,married,tertiary,no,6240.0,no,no,cellular,741,1.0,3,failure,1.0
id_23007,80.0,retired,married,tertiary,no,6238.0,no,no,cellular,993,2.0,0,unknown,1.0
id_569,57.0,blue-collar,married,primary,no,6211.0,yes,no,cellular,901,2.0,0,unknown,1.0
id_30711,55.0,technician,married,primary,no,6183.0,no,no,cellular,831,2.0,3,other,1.0
id_42979,51.0,technician,single,secondary,no,6167.0,yes,no,cellular,705,1.0,0,unknown,1.0
id_7019,40.575475409836066,entrepreneur,single,tertiary,yes,6160.0,no,yes,telephone,992,1.0,0,unknown,1.0
id_21873,46.0,blue-collar,married,primary,no,6147.0,yes,no,cellular,702,2.0,0,unknown,1.0
id_11187,54.0,blue-collar,married,secondary,no,6116.0,no,no,cellular,906,1.0,1,success,1.0
id_10223,57.0,self-employed,single,primary,no,6054.0,yes,no,cellular,701,5.0,0,unknown,1.0
id_6784,73.0,blue-collar,married,secondary,no,6050.0,no,no,telephone,809,1.0,0,unknown,1.0
id_18146,40.0,admin.,divorced,secondary,no,6045.0,yes,yes,telephone,769,2.0,0,unknown,1.0
id_42641,74.0,retired,married,tertiary,no,6023.0,no,no,cellular,892,1.0,4,success,1.0
id_4720,37.0,management,married,tertiary,no,6003.0,yes,no,cellular,704,1.0,0,unknown,1.0
id_3670,32.0,blue-collar,single,primary,no,5976.0,no,no,telephone,702,1.0,0,unknown,1.0
id_28659,38.0,management,single,tertiary,no,5971.0,no,no,cellular,787,2.0,0,unknown,1.0
id_42572,35.0,technician,married,secondary,no,5957.0,no,no,cellular,809,1.0,0,unknown,1.0
id_30821,84.0,housemaid,divorced,primary,no,5944.0,no,no,cellular,815,3.0,0,unknown,1.0
id_13714,60.0,management,married,tertiary,no,5937.0,no,no,cellular,802,2.0,0,unknown,1.0
id_14358,60.0,retired,divorced,unknown,no,5918.0,yes,no,cellular,701,1.0,1,failure,1.0
id_13096,55.0,retired,divorced,unknown,no,5915.0,yes,no,cellular,822,1.0,0,unknown,1.0
id_35519,29.0,student,single,secondary,no,5911.0,no,no,cellular,803,1.0,6,failure,1.0
id_12861,28.0,blue-collar,married,secondary,no,5898.0,yes,no,cellular,900,1.0,1,failure,1.0
id_32924,64.0,retired,married,primary,no,5869.0,no,no,cellular,719,1.0,0,unknown,1.0
id_9934,58.0,blue-collar,married,primary,no,5794.0,yes,no,cellular,989,2.0,0,unknown,1.0
id_7076,53.0,management,married,primary,no,5787.0,no,no,telephone,701,2.0,0,unknown,1.0
id_33911,56.0,management,divorced,tertiary,no,5701.0,no,no,cellular,993,1.0,0,unknown,1.0
id_38235,27.0,management,married,tertiary,no,5696.0,no,no,cellular,820,1.0,0,unknown,1.0
id_18117,26.0,technician,single,secondary,no,5691.0,no,no,cellular,706,1.0,0,unknown,1.0
id_45035,55.0,housemaid,married,secondary,no,5627.0,no,no,telephone,789,1.0,5,other,1.0
id_1782,45.0,management,married,tertiary,no,5579.0,no,no,cellular,806,2.0,0,unknown,1.0
id_26503,69.0,management,married,tertiary,no,5566.0,no,no,cellular,989,1.0,0,unknown,1.0
id_37077,75.0,retired,married,primary,no,5543.0,no,no,telephone,808,1.0,0,unknown,1.0
id_27966,33.0,self-employed,single,tertiary,no,5466.0,no,no,cellular,906,1.0,0,unknown,1.0
id_20354,46.0,blue-collar,married,primary,no,5462.0,yes,no,cellular,702,2.0,0,unknown,1.0
id_21931,46.0,admin.,married,secondary,no,5403.0,no,no,cellular,795,2.0,0,unknown,1.0
id_17773,29.0,management,married,tertiary,no,5384.0,no,no,cellular,705,1.0,0,unknown,1.0
id_42394,37.0,management,married,tertiary,no,5368.0,no,no,cellular,873,1.0,1,failure,1.0
id_2257,40.575475409836066,management,single,tertiary,no,5340.0,no,no,cellular,906,2.0,0,unknown,1.0
id_13721,44.0,self-employed,divorced,tertiary,no,5328.0,no,yes,cellular,814,3.0,0,unknown,1.0
id_2221,42.0,technician,single,secondary,no,5325.0,no,no,cellular,831,2.0,0,unknown,1.0
id_32954,39.0,management,married,primary,no,5309.0,yes,no,cellular,697,2.0,4,success,1.0
id_30803,28.0,student,single,secondary,no,5297.0,no,no,telephone,802,1.0,0,unknown,1.0
id_5004,62.0,retired,married,secondary,no,5269.0,no,no,cellular,779,1.0,0,unknown,1.0
id_42611,36.0,management,single,secondary,no,5263.0,yes,no,cellular,704,1.0,2,failure,1.0
id_45003,47.0,management,married,tertiary,no,5261.0,no,no,cellular,993,1.0,0,unknown,1.0
id_21184,52.0,management,divorced,tertiary,no,5252.0,yes,yes,cellular,916,1.0,19,failure,1.0
id_35498,48.0,management,divorced,tertiary,no,5225.0,no,no,cellular,810,1.0,0,unknown,1.0
id_1675,29.0,technician,single,secondary,no,5205.0,no,no,cellular,702,1.0,0,unknown,1.0
id_1259,61.0,retired,married,secondary,no,5192.0,no,no,telephone,951,2.0,4,other,1.0
id_18261,26.0,student,single,tertiary,no,5169.0,yes,no,cellular,780,1.0,3,success,1.0
id_31457,28.0,student,single,tertiary,no,5166.0,yes,no,cellular,881,1.0,2,failure,1.0
id_471,50.0,housemaid,married,primary,no,5141.0,no,no,unknown,866,1.0,0,unknown,1.0
id_31936,39.0,technician,married,secondary,no,5114.0,yes,no,cellular,968,1.0,6,success,1.0
id_39680,40.575475409836066,technician,married,secondary,no,5114.0,yes,no,cellular,873,1.0,7,success,1.0
id_39765,42.0,technician,married,tertiary,no,5110.0,no,no,cellular,914,2.0,0,unknown,1.0
id_17213,51.0,admin.,married,tertiary,no,5090.0,no,no,cellular,809,1.0,0,unknown,1.0
id_3250,52.0,admin.,married,secondary,no,5085.0,yes,yes,cellular,837,1.0,0,unknown,1.0
id_2299,40.575475409836066,self-employed,married,secondary,no,5067.0,no,no,cellular,837,2.0,0,unknown,1.0
id_5890,33.0,technician,single,secondary,no,5059.0,no,yes,cellular,807,2.0,0,unknown,1.0
id_9198,51.0,housemaid,married,primary,no,5043.0,no,no,unknown,857,1.0,0,unknown,1.0
id_39878,51.0,management,married,unknown,no,5041.0,yes,yes,cellular,928,1.0,0,unknown,1.0
id_19962,44.0,management,divorced,tertiary,no,5041.0,no,no,cellular,829,6.0,14,success,1.0
id_12784,57.0,management,divorced,tertiary,no,5040.0,yes,no,cellular,704,2.0,0,unknown,1.0
id_42063,72.0,retired,divorced,primary,no,5032.0,no,no,cellular,688,10.0,0,unknown,1.0
